Designator,Footprint,Quantity,Value,LCSC Part #
ESP32-C3_SUPERMINI,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI,
J1,Jushuo_AFC01-S30FCC-00_1x30-1MP_P0.50mm_Horizontal,1,AFC01-S30FCC-00,
